event_id,title,category,date,end_date,time,language,note,description,ongoing,venue_name,area,center,register_link,map_link
gp,Guru Purnima Celebrations,Sangha,2026-07-29,,6:00 PM onwards,English,,"An evening of celebration marking the first full moon after summer solstice — satsang, offerings and prasadam. Join whichever venue is nearest.",,SLV Sankalpa,Hosa Road,Singasandra,https://isha.co/KAGP-ECN,https://www.google.com/maps/search/?api=1&query=SLV+Sankalpa+Hosa+Road+Bengaluru
gp,Guru Purnima Celebrations,Sangha,2026-07-29,,6:00 PM onwards,English,,"An evening of celebration marking the first full moon after summer solstice — satsang, offerings and prasadam. Join whichever venue is nearest.",,Transform Cricket Academy,EC Phase 1,Electronic City,https://isha.co/KAGP-ECity,
sck,Shakti Chalana Kriya Review,Sadhana,2026-08-01,,7:30 – 10:00 AM,English,Only for those initiated into the Shoonya Program,A guided correction session to review and fine-tune your Shakti Chalana Kriya practice with trained teachers.,,Incture Technologies,EC Phase 1,Electronic City,https://forms.gle/pj9WHmB5FmCT5xka8,
satsang,August Monthly Satsang,Sangha,2026-08-02,,7:30 – 9:30 AM,English,,A monthly gathering of meditators — an opportunity to sit together and deepen your sadhana. You can join the location nearest to you.,,SLV Sankalpa,Hosur Road,Singasandra,https://bit.ly/Singasandra_satsang,
satsang,August Monthly Satsang,Sangha,2026-08-02,,7:30 – 9:30 AM,English,,A monthly gathering of meditators — an opportunity to sit together and deepen your sadhana. You can join the location nearest to you.,,Incture Technologies,Electronic City,Electronic City,https://bit.ly/Ecity_satsang,
satsang,August Monthly Satsang,Sangha,2026-08-02,,7:30 – 9:30 AM,English,,A monthly gathering of meditators — an opportunity to sit together and deepen your sadhana. You can join the location nearest to you.,,Ramana Maharshi Ashram,Chandapura,Chandapura,https://bit.ly/Chandapura_satsang,
satsang,August Monthly Satsang,Sangha,2026-08-02,,7:30 – 9:30 AM,English,,A monthly gathering of meditators — an opportunity to sit together and deepen your sadhana. You can join the location nearest to you.,,Prakriti Yoga Studio,Begur,Begur,https://bit.ly/Begur_satsang,
npseva,Naga Panchami — Volunteering,Seva,2026-08-15,2026-08-17,"Full days, Aug 15 – 17",English,,Offer your time as a volunteer for the Naga Panchami celebrations at Sadhguru Sannidhi Bengaluru.,,Sadhguru Sannidhi,Chikkaballapur,Sadhguru Sannidhi,,
nag,Naga Panchami,Sangha,2026-08-17,,6:00 – 8:00 PM,English,,Naga Panchami celebrations in the presence of the Naga at Sadhguru Sannidhi Bengaluru.,,Sadhguru Sannidhi,Chikkaballapur,Sadhguru Sannidhi,https://bhairavi.co/nagapanchami,
hasiru,Hasiru Shaale — Green Schools,Seva,,,,English / Kannada,,Volunteer with the Green Schools initiative — bringing greenery and ecological awareness to schools in and around the sector.,yes,Sadhguru Sannidhi,Chikkaballapur,Sadhguru Sannidhi,https://isha.co/hasirushaale,
mahakshetra,Mahakshetra Nirmana,Seva,,,,English,,"A rare opportunity to be part of the 5-day consecration of the Devi Temple, Teerthakund and Navagraha Temple.",yes,Sadhguru Sannidhi,Chikkaballapur,Sadhguru Sannidhi,https://sadhguru.co/SSBconsecration,
